experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,164956.08,145116.8,298.1157,145116.8,55.015625,65.0,30.0,78.265625
"host+('guest_1', 'guest_2', 'guest_3')",1,2,159050.17,144727.16,297.64664,144727.16,127.5,175.0625,147.515625,159.6875
"host+('guest_1', 'guest_2', 'guest_3')",1,3,218308.45,144314.61,297.14874,144314.61,223.40625,295.53125,254.984375,242.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,4,168805.7,143864.17,296.6011,143864.17,301.14062,438.4375,385.71875,341.09375
"host+('guest_1', 'guest_2', 'guest_3')",1,5,170063.16,143358.1,295.9826,143358.1,382.84375,587.078125,499.59375,433.109375
"host+('guest_1', 'guest_2', 'guest_3')",1,6,164321.53,142777.64,295.27167,142777.64,502.75,799.453125,681.28125,552.5625
"host+('guest_1', 'guest_2', 'guest_3')",1,7,168769.02,142097.4,294.436,142097.4,651.0156,1047.4375,844.859375,706.515625
"host+('guest_1', 'guest_2', 'guest_3')",1,8,167010.34,141291.19,293.44162,141291.19,779.96875,1257.171875,1062.125,850.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,9,162859.11,140349.28,292.28592,140349.28,973.03125,1571.671875,1319.984375,1055.59375
"host+('guest_1', 'guest_2', 'guest_3')",1,10,148990.64,139247.64,290.96838,139247.64,1201.8281,1866.953125,1612.390625,1246.53125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,161576.11,137990.75,289.46506,137990.75,1438.4375,2268.265625,1946.953125,1488.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,12,150524.14,136501.36,287.67227,136501.36,1725.3906,2691.265625,2278.96875,1785.84375
"host+('guest_1', 'guest_2', 'guest_3')",1,13,160737.34,134814.78,285.62415,134814.78,2038.2031,3322.15625,2726.328125,2004.796875
"host+('guest_1', 'guest_2', 'guest_3')",1,14,158476.08,132876.02,283.2764,132876.02,2505.1562,3829.484375,3316.234375,2498.421875
"host+('guest_1', 'guest_2', 'guest_3')",1,15,150321.64,130629.67,280.57114,130629.67,2912.4688,4540.265625,3749.703125,2805.015625
