experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,167582.17,144780.31,297.7077,144780.31,139.23438,220.4375,60.359375,164.59375
"host+('guest_1', 'guest_2', 'guest_3')",1,2,160405.25,144358.92,297.2045,144358.92,237.65625,364.453125,145.734375,245.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,3,172393.78,143907.75,296.6638,143907.75,348.45312,513.15625,235.421875,341.859375
"host+('guest_1', 'guest_2', 'guest_3')",1,4,163534.1,143402.44,296.0568,143402.44,448.48438,685.375,336.796875,451.734375
"host+('guest_1', 'guest_2', 'guest_3')",1,5,175625.14,142829.97,295.367,142829.97,582.5625,853.671875,456.296875,577.65625
"host+('guest_1', 'guest_2', 'guest_3')",1,6,166421.3,142173.83,294.57474,142173.83,750.96875,983.78125,603.28125,719.53125
"host+('guest_1', 'guest_2', 'guest_3')",1,7,164506.22,141402.86,293.63727,141402.86,909.21875,1314.5,745.46875,835.453125
"host+('guest_1', 'guest_2', 'guest_3')",1,8,155522.53,140511.17,292.54987,140511.17,1077.125,1616.78125,966.0,1083.96875
"host+('guest_1', 'guest_2', 'guest_3')",1,9,155759.45,139477.73,291.3002,139477.73,1379.3594,1983.671875,1174.6875,1244.34375
"host+('guest_1', 'guest_2', 'guest_3')",1,10,165949.92,138275.6,289.8742,138275.6,1571.3594,2227.5,1457.609375,1494.546875
"host+('guest_1', 'guest_2', 'guest_3')",1,11,149355.0,136880.1,288.21048,136880.1,1859.1719,2782.78125,1822.4375,1738.421875
"host+('guest_1', 'guest_2', 'guest_3')",1,12,146596.73,135297.23,286.30444,135297.23,2245.625,3341.140625,2194.25,2013.84375
"host+('guest_1', 'guest_2', 'guest_3')",1,13,164132.97,133494.86,284.1245,133494.86,2589.7188,3827.109375,2510.140625,2346.5625
"host+('guest_1', 'guest_2', 'guest_3')",1,14,154548.8,131421.62,281.6309,131421.62,3069.8125,4447.6875,3072.625,2734.9375
"host+('guest_1', 'guest_2', 'guest_3')",1,15,145393.64,129052.23,278.77145,129052.23,3648.3047,5197.4609375,3561.2265625,3177.1640625
"host+('guest_1', 'guest_2', 'guest_3')",1,16,149458.92,126452.4,275.61096,126452.4,4166.211,5689.1953125,4095.875,3666.953125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,138811.1,123558.73,272.07413,123558.73,4870.3047,6619.5859375,4723.7109375,4029.5703125
"host+('guest_1', 'guest_2', 'guest_3')",1,18,142683.22,120421.16,268.16876,120421.16,5617.6094,7352.390625,5468.2421875,4575.703125
"host+('guest_1', 'guest_2', 'guest_3')",1,19,134135.28,116960.125,263.879,116960.125,6530.172,8342.4375,6202.515625,5021.4453125
"host+('guest_1', 'guest_2', 'guest_3')",1,20,136073.52,113261.64,259.3215,113261.64,7356.367,9280.375,6890.96875,5630.78125
"host+('guest_1', 'guest_2', 'guest_3')",1,21,129564.68,109285.305,254.34134,109285.305,8445.328,9942.1796875,7637.078125,6000.0625
"host+('guest_1', 'guest_2', 'guest_3')",1,22,126314.086,105070.875,249.0199,105070.875,9463.961,11073.25,8624.0234375,6234.0390625
"host+('guest_1', 'guest_2', 'guest_3')",1,23,120582.17,100755.75,243.55548,100755.75,10848.203,11839.59375,9316.171875,6901.234375
"host+('guest_1', 'guest_2', 'guest_3')",1,24,123237.555,96301.7,237.91408,96301.7,12380.102,12455.5390625,9868.4453125,7542.203125
"host+('guest_1', 'guest_2', 'guest_3')",1,25,104178.7,91676.516,232.0678,91676.516,13849.953,13513.6796875,10886.2421875,7678.890625
"host+('guest_1', 'guest_2', 'guest_3')",1,26,109656.23,87092.85,226.23947,87092.85,15202.055,13938.2890625,10990.1640625,7607.4609375
"host+('guest_1', 'guest_2', 'guest_3')",1,27,105494.21,82494.91,220.44963,82494.91,16890.797,14270.984375,11248.7734375,7693.1875
"host+('guest_1', 'guest_2', 'guest_3')",1,28,98684.266,78067.875,214.70139,78067.875,18694.656,15249.5234375,11863.5859375,8022.6328125
"host+('guest_1', 'guest_2', 'guest_3')",1,29,83295.96,73924.31,209.37695,73924.31,20909.266,14332.53125,11801.9765625,7397.3515625
"host+('guest_1', 'guest_2', 'guest_3')",1,30,86974.19,70112.74,204.14648,70112.74,22749.992,14888.734375,11641.515625,7288.90625
"host+('guest_1', 'guest_2', 'guest_3')",1,31,80536.54,66493.48,198.97389,66493.48,24468.773,14139.984375,11883.96875,6560.859375
"host+('guest_1', 'guest_2', 'guest_3')",1,32,73387.945,63208.01,194.19124,63208.01,26816.129,12649.67578125,11161.03515625,6136.94140625
"host+('guest_1', 'guest_2', 'guest_3')",1,33,69837.984,60206.09,189.4992,60206.09,28414.434,13171.75390625,10898.76171875,5485.14453125
"host+('guest_1', 'guest_2', 'guest_3')",1,34,95714.79,57385.117,184.99504,57385.117,31335.11,11320.359375,10630.578125,4609.05859375
"host+('guest_1', 'guest_2', 'guest_3')",1,35,65589.78,54554.0,180.48001,54554.0,33793.305,11232.6875,9574.76953125,3802.0625
"host+('guest_1', 'guest_2', 'guest_3')",1,36,60600.113,52061.39,176.38873,52061.39,35760.664,10809.5859375,9737.7578125,3585.62890625
"host+('guest_1', 'guest_2', 'guest_3')",1,37,57271.13,49704.953,172.3989,49704.953,38775.703,9376.484375,9456.7578125,3448.66796875
"host+('guest_1', 'guest_2', 'guest_3')",1,38,65075.113,47384.457,168.27255,47384.457,40995.723,9995.14453125,9486.2890625,2817.6796875
"host+('guest_1', 'guest_2', 'guest_3')",1,39,60123.938,44892.414,163.80394,44892.414,43776.68,9375.171875,9374.06640625,2777.85546875
"host+('guest_1', 'guest_2', 'guest_3')",1,40,51350.758,42397.652,159.12901,42397.652,45232.645,8505.51171875,9077.4296875,2545.9765625
"host+('guest_1', 'guest_2', 'guest_3')",1,41,45132.24,39940.41,154.33693,39940.41,48109.668,9333.1171875,9214.21875,2637.7265625
"host+('guest_1', 'guest_2', 'guest_3')",1,42,41102.418,37609.125,149.64915,37609.125,50232.953,8808.34375,8583.015625,2430.6328125
