experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,167381.58,144775.53,297.76138,144775.53,264.64062,57.484375,137.90625,112.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,2,161477.52,144347.84,297.25378,144347.84,384.0625,177.96875,242.296875,207.515625
"host+('guest_1', 'guest_2', 'guest_3')",1,3,170052.66,143885.56,296.70444,143885.56,496.1875,283.25,380.609375,292.625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,161730.27,143368.1,296.08978,143368.1,635.2969,416.15625,511.953125,396.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,5,159374.95,142778.72,295.387,142778.72,783.9375,560.3125,678.796875,497.828125
"host+('guest_1', 'guest_2', 'guest_3')",1,6,161751.92,142101.84,294.5772,142101.84,984.2344,718.21875,867.671875,633.9375
"host+('guest_1', 'guest_2', 'guest_3')",1,7,166513.89,141314.97,293.63205,141314.97,1193.4219,910.59375,1081.796875,760.09375
"host+('guest_1', 'guest_2', 'guest_3')",1,8,161980.36,140396.56,292.52768,140396.56,1406.9844,1198.1875,1325.1875,937.953125
"host+('guest_1', 'guest_2', 'guest_3')",1,9,153493.6,139319.86,291.23547,139319.86,1726.0938,1383.0625,1598.375,1116.671875
"host+('guest_1', 'guest_2', 'guest_3')",1,10,153022.16,138105.16,289.80182,138105.16,2012.5781,1709.53125,1988.953125,1335.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,163969.45,136701.95,288.15347,136701.95,2369.0312,2165.234375,2323.15625,1576.65625
"host+('guest_1', 'guest_2', 'guest_3')",1,12,155982.6,135052.1,286.19888,135052.1,2894.3438,2618.0625,2809.265625,1872.0625
"host+('guest_1', 'guest_2', 'guest_3')",1,13,205444.11,133151.67,283.91537,133151.67,3375.4062,3002.390625,3290.65625,2154.703125
"host+('guest_1', 'guest_2', 'guest_3')",1,14,160905.33,130983.766,281.31216,130983.766,3892.6562,3527.609375,3831.796875,2506.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,15,149195.14,128602.81,278.4436,128602.81,4441.5,4183.0625,4538.125,2921.953125
"host+('guest_1', 'guest_2', 'guest_3')",1,16,139411.55,126031.39,275.31097,126031.39,4931.992,4553.828125,5097.421875,3286.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,17,139609.98,123220.93,271.88303,123220.93,5816.4375,5233.6015625,5933.703125,3642.3515625
"host+('guest_1', 'guest_2', 'guest_3')",1,18,140986.83,120131.89,268.05774,120131.89,6522.6094,6037.15625,6681.1953125,4099.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,19,138020.7,116735.11,263.7974,116735.11,7333.203,6932.6171875,7658.453125,4637.6640625
