experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,162218.47,144796.42,297.74988,144796.42,130.78125,176.65625,165.6875,51.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,2,160802.84,144374.22,297.2513,144374.22,246.875,300.09375,311.734375,121.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,3,180069.28,143922.22,296.71585,143922.22,346.8125,397.265625,464.265625,212.3125
"host+('guest_1', 'guest_2', 'guest_3')",1,4,164951.39,143419.55,296.11978,143419.55,479.20312,500.984375,604.671875,284.390625
"host+('guest_1', 'guest_2', 'guest_3')",1,5,163261.61,142849.78,295.44067,142849.78,621.5469,629.890625,803.203125,398.1875
"host+('guest_1', 'guest_2', 'guest_3')",1,6,160762.61,142198.98,294.66052,142198.98,778.40625,785.828125,994.046875,521.171875
"host+('guest_1', 'guest_2', 'guest_3')",1,7,157923.1,141446.89,293.75476,141446.89,964.03125,969.765625,1268.03125,633.328125
"host+('guest_1', 'guest_2', 'guest_3')",1,8,163113.4,140581.6,292.7063,140581.6,1158.7656,1160.140625,1513.15625,774.703125
"host+('guest_1', 'guest_2', 'guest_3')",1,9,153433.8,139575.3,291.4927,139575.3,1399.5938,1400.0625,1870.4375,971.234375
"host+('guest_1', 'guest_2', 'guest_3')",1,10,161840.98,138420.84,290.1309,138420.84,1675.2812,1616.890625,2163.296875,1179.265625
"host+('guest_1', 'guest_2', 'guest_3')",1,11,173586.42,137073.92,288.54358,137073.92,1976.1406,1904.109375,2649.234375,1384.5625
"host+('guest_1', 'guest_2', 'guest_3')",1,12,153412.42,135528.08,286.70908,135528.08,2362.4375,2370.84375,3192.28125,1668.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,13,158783.75,133772.03,284.59952,133772.03,2773.5781,2727.109375,3551.15625,1921.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,14,154404.08,131771.92,282.19748,131771.92,3296.9531,3205.96875,4101.5,2276.5
"host+('guest_1', 'guest_2', 'guest_3')",1,15,146214.17,129527.6,279.5128,129527.6,3793.4766,3759.7265625,4932.6953125,2677.6171875
"host+('guest_1', 'guest_2', 'guest_3')",1,16,144139.42,127049.94,276.52475,127049.94,4354.328,4308.328125,5489.28125,3005.4921875
"host+('guest_1', 'guest_2', 'guest_3')",1,17,144687.14,124314.81,273.20966,124314.81,5096.328,5176.359375,6379.421875,3449.234375
"host+('guest_1', 'guest_2', 'guest_3')",1,18,149236.23,121269.55,269.4803,121269.55,5851.711,5615.78125,7076.4453125,3871.09375
"host+('guest_1', 'guest_2', 'guest_3')",1,19,136177.1,117928.32,265.33276,117928.32,6697.9297,6400.0546875,8016.3359375,4196.8984375
"host+('guest_1', 'guest_2', 'guest_3')",1,20,132878.81,114295.96,260.85132,114295.96,7625.6484,7045.0703125,9006.625,4807.6015625
"host+('guest_1', 'guest_2', 'guest_3')",1,21,118175.1,110411.805,256.0362,110411.805,8685.4375,7658.390625,9880.96875,5065.9296875
"host+('guest_1', 'guest_2', 'guest_3')",1,22,128773.484,106431.42,251.00977,106431.42,9613.25,8440.78125,10791.6953125,5792.9453125
"host+('guest_1', 'guest_2', 'guest_3')",1,23,162587.39,102109.79,245.52698,102109.79,10729.617,9380.234375,12089.734375,6108.6328125
"host+('guest_1', 'guest_2', 'guest_3')",1,24,118485.055,97487.875,239.68675,97487.875,12414.383,9865.859375,12395.3046875,6522.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,25,104942.04,92971.35,233.91493,92971.35,14178.469,10665.7890625,13476.4140625,6722.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,26,103680.55,88616.21,228.35512,88616.21,15008.227,10883.5546875,14279.28125,6600.2421875
"host+('guest_1', 'guest_2', 'guest_3')",1,27,97067.51,84300.28,222.89601,84300.28,17004.86,11227.5390625,14284.7109375,7260.7734375
"host+('guest_1', 'guest_2', 'guest_3')",1,28,95422.93,80053.26,217.49689,80053.26,18386.36,11399.0625,15519.7109375,7238.53125
"host+('guest_1', 'guest_2', 'guest_3')",1,29,92198.555,75932.99,212.16397,75932.99,19816.984,11924.890625,15617.640625,6984.6875
"host+('guest_1', 'guest_2', 'guest_3')",1,30,81507.49,71995.766,207.03117,71995.766,21956.602,11716.0703125,15410.5,6325.5546875
"host+('guest_1', 'guest_2', 'guest_3')",1,31,79630.73,68424.68,201.9934,68424.68,23661.305,11308.96875,15598.75,6480.859375
"host+('guest_1', 'guest_2', 'guest_3')",1,32,74941.62,65174.4,197.25026,65174.4,25621.016,10576.4140625,16123.8671875,5735.6484375
"host+('guest_1', 'guest_2', 'guest_3')",1,33,72257.14,62082.355,192.62195,62082.355,27880.012,10357.33984375,15055.25390625,5366.61328125
"host+('guest_1', 'guest_2', 'guest_3')",1,34,68131.29,59197.35,187.9475,59197.35,29659.188,10188.453125,14395.296875,5133.39453125
"host+('guest_1', 'guest_2', 'guest_3')",1,35,75365.67,56461.01,183.50316,56461.01,32142.91,9172.05859375,15502.40234375,4566.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,36,66545.7,53748.89,179.05473,53748.89,34219.53,8709.20703125,13898.703125,3731.1484375
"host+('guest_1', 'guest_2', 'guest_3')",1,37,62340.562,51090.41,174.57678,51090.41,35908.965,7378.62109375,13459.43359375,3044.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,38,64819.973,48515.477,170.10443,48515.477,39443.22,7426.38671875,13293.46484375,2822.96484375
"host+('guest_1', 'guest_2', 'guest_3')",1,39,53412.12,45900.53,165.496,45900.53,41357.156,7430.140625,12217.64453125,2460.57421875
"host+('guest_1', 'guest_2', 'guest_3')",1,40,47062.863,43413.516,160.82831,43413.516,45342.086,6674.26171875,12375.51171875,2461.53125
"host+('guest_1', 'guest_2', 'guest_3')",1,41,49474.133,40994.387,156.14528,40994.387,46942.613,5915.87109375,12619.83984375,1920.6953125
"host+('guest_1', 'guest_2', 'guest_3')",1,42,46709.16,38537.72,151.34917,38537.72,48882.562,6008.84375,13114.515625,1833.0
"host+('guest_1', 'guest_2', 'guest_3')",1,43,47476.285,36019.305,146.2965,36019.305,51948.492,6261.640625,12793.12890625,1878.546875
"host+('guest_1', 'guest_2', 'guest_3')",1,44,39353.637,33454.45,140.98357,33454.45,54269.2,6118.93359375,13331.39453125,1970.69921875
"host+('guest_1', 'guest_2', 'guest_3')",1,45,36361.414,30988.857,135.60104,30988.857,57869.805,5541.240234375,12691.439453125,2069.095703125
"host+('guest_1', 'guest_2', 'guest_3')",1,46,33779.414,28578.408,130.15897,28578.408,58478.18,5333.126953125,13142.904296875,1927.890625
"host+('guest_1', 'guest_2', 'guest_3')",1,47,31612.86,26240.656,124.673935,26240.656,60306.836,5407.611328125,14038.32421875,1699.306640625
"host+('guest_1', 'guest_2', 'guest_3')",1,48,30299.766,23943.352,119.033485,23943.352,64864.344,6013.458984375,13952.42578125,2004.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,49,23972.324,21731.729,113.313545,21731.729,64983.42,5738.166015625,14113.576171875,2481.4609375
"host+('guest_1', 'guest_2', 'guest_3')",1,50,24636.656,19659.846,107.67067,19659.846,66806.65,5930.427734375,14701.732421875,1917.212890625
"host+('guest_1', 'guest_2', 'guest_3')",1,51,19891.191,17603.6,101.792404,17603.6,68329.66,5999.53125,13667.478515625,2060.478515625
"host+('guest_1', 'guest_2', 'guest_3')",1,52,20243.004,15736.807,96.11919,15736.807,71577.89,5526.640625,13982.173828125,1934.126953125
"host+('guest_1', 'guest_2', 'guest_3')",1,53,15942.889,13914.42,90.32393,13914.42,71794.195,5534.759765625,15398.279296875,1614.0576171875
"host+('guest_1', 'guest_2', 'guest_3')",1,54,14729.224,12274.175,84.74721,12274.175,76753.25,5624.0986328125,14281.7978515625,1527.9267578125
"host+('guest_1', 'guest_2', 'guest_3')",1,55,15045.013,10754.317,79.242386,10754.317,77336.28,5629.572265625,14594.2412109375,1795.138671875
"host+('guest_1', 'guest_2', 'guest_3')",1,56,12047.234,9264.409,73.532814,9264.409,78877.61,5517.8740234375,15167.6025390625,1675.7841796875
"host+('guest_1', 'guest_2', 'guest_3')",1,57,9363.742,7959.9165,68.156494,7959.9165,79451.74,5292.61376953125,15472.91015625,1685.72314453125
"host+('guest_1', 'guest_2', 'guest_3')",1,58,8016.7827,6860.635,63.28653,6860.635,80422.69,5468.8935546875,15630.8203125,1756.5693359375
"host+('guest_1', 'guest_2', 'guest_3')",1,59,7084.634,5917.945,58.7918,5917.945,83804.164,5820.36865234375,15531.4765625,1716.32373046875
"host+('guest_1', 'guest_2', 'guest_3')",1,60,6126.652,5104.052,54.633335,5104.052,80012.46,5611.42578125,16303.2158203125,1667.1337890625
"host+('guest_1', 'guest_2', 'guest_3')",1,61,5066.218,4410.61,50.80401,4410.61,81309.45,5262.19091796875,16014.115234375,1703.70556640625
"host+('guest_1', 'guest_2', 'guest_3')",1,62,4501.394,3825.03,47.353333,3825.03,82850.63,5441.599609375,16602.248046875,1542.325439453125
"host+('guest_1', 'guest_2', 'guest_3')",1,63,4275.5093,3336.7795,44.195267,3336.7795,84897.01,5368.55078125,16379.671875,1673.369384765625
"host+('guest_1', 'guest_2', 'guest_3')",1,64,3362.5574,2914.7913,41.27471,2914.7913,83274.93,5434.3125,16750.591796875,1664.755615234375
"host+('guest_1', 'guest_2', 'guest_3')",1,65,2982.4397,2587.0542,38.89112,2587.0542,86950.35,5477.0849609375,16943.44921875,1685.9716796875
"host+('guest_1', 'guest_2', 'guest_3')",1,66,2655.4297,2321.7139,36.791553,2321.7139,87235.82,5490.859375,17243.2734375,1678.95166015625
"host+('guest_1', 'guest_2', 'guest_3')",1,67,2337.8748,2113.5981,35.020855,2113.5981,85091.46,5374.93212890625,16862.69921875,1728.09228515625
"host+('guest_1', 'guest_2', 'guest_3')",1,68,2147.1956,1940.3746,33.40831,1940.3746,86327.555,5260.208984375,17563.662109375,1569.0152587890625
"host+('guest_1', 'guest_2', 'guest_3')",1,69,1995.8964,1805.9376,32.14269,1805.9376,85502.77,5255.3876953125,17371.513671875,1700.5706787109375
"host+('guest_1', 'guest_2', 'guest_3')",1,70,1904.9636,1696.1224,31.110825,1696.1224,83270.76,5249.333984375,18243.033203125,1632.8922119140625
"host+('guest_1', 'guest_2', 'guest_3')",1,71,1711.4109,1609.1019,30.290373,1609.1019,90133.195,5286.2724609375,19310.845703125,1595.5618896484375
"host+('guest_1', 'guest_2', 'guest_3')",1,72,1816.17,1537.0376,29.568043,1537.0376,86041.445,5171.70947265625,18236.685546875,1617.979248046875
"host+('guest_1', 'guest_2', 'guest_3')",1,73,1705.3884,1472.1357,28.91211,1472.1357,89250.09,5152.38330078125,18200.42578125,1502.43603515625
"host+('guest_1', 'guest_2', 'guest_3')",1,74,1551.5319,1416.7789,28.358267,1416.7789,86281.2,5247.97412109375,18732.568359375,1459.4910888671875
"host+('guest_1', 'guest_2', 'guest_3')",1,75,1475.2849,1371.7041,27.91434,1371.7041,85116.25,5228.59765625,18604.015625,1559.283447265625
"host+('guest_1', 'guest_2', 'guest_3')",1,76,1439.196,1333.9081,27.540487,1333.9081,90857.75,5183.14013671875,18791.998046875,1522.9036865234375
"host+('guest_1', 'guest_2', 'guest_3')",1,77,1417.7344,1300.934,27.200014,1300.934,86426.27,5025.298828125,18859.05078125,1501.3436279296875
"host+('guest_1', 'guest_2', 'guest_3')",1,78,1392.8137,1268.5546,26.855232,1268.5546,85234.17,5069.44775390625,19349.587890625,1544.8341064453125
"host+('guest_1', 'guest_2', 'guest_3')",1,79,1336.9883,1240.0206,26.550722,1240.0206,85770.0,5008.2451171875,19864.822265625,1493.2677001953125
"host+('guest_1', 'guest_2', 'guest_3')",1,80,1395.1007,1213.2167,26.259964,1213.2167,88589.58,5092.4541015625,19452.654296875,1472.8699951171875
"host+('guest_1', 'guest_2', 'guest_3')",1,81,1354.91,1185.8457,25.964642,1185.8457,88261.54,4931.48193359375,19759.25,1438.198974609375
"host+('guest_1', 'guest_2', 'guest_3')",1,82,1317.3584,1160.0887,25.698902,1160.0887,86342.88,5107.55615234375,19345.056640625,1402.8900146484375
"host+('guest_1', 'guest_2', 'guest_3')",1,83,1297.7502,1135.3375,25.44975,1135.3375,87925.12,5032.8994140625,20556.4765625,1386.0804443359375
"host+('guest_1', 'guest_2', 'guest_3')",1,84,1182.2704,1115.3016,25.252356,1115.3016,87331.06,5013.26220703125,20313.9609375,1276.7469482421875
"host+('guest_1', 'guest_2', 'guest_3')",1,85,1180.2963,1095.7166,25.04604,1095.7166,86174.3,4729.1875,20365.31640625,1316.6796875
"host+('guest_1', 'guest_2', 'guest_3')",1,86,1218.0182,1075.3837,24.823679,1075.3837,85039.6,4880.96875,20576.490234375,1346.7957763671875
"host+('guest_1', 'guest_2', 'guest_3')",1,87,1147.5267,1056.1448,24.604578,1056.1448,87937.59,5031.53125,20958.9765625,1216.81494140625
