experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,164190.61,144774.03,297.72513,144774.03,150.89062,235.25,88.171875,113.09375
"host+('guest_1', 'guest_2', 'guest_3')",1,2,169970.23,144336.77,297.19736,144336.77,249.20312,350.8125,193.640625,192.453125
"host+('guest_1', 'guest_2', 'guest_3')",1,3,180088.89,143868.64,296.63193,143868.64,350.6875,535.71875,331.515625,277.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,165804.42,143353.62,296.00912,143353.62,450.03125,683.21875,447.5625,392.703125
"host+('guest_1', 'guest_2', 'guest_3')",1,5,158251.4,142773.19,295.30478,142773.19,563.6094,879.734375,597.1875,506.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,6,163239.9,142112.3,294.49838,142112.3,725.8594,1073.90625,776.5625,646.640625
"host+('guest_1', 'guest_2', 'guest_3')",1,7,156124.39,141348.72,293.56653,141348.72,900.4219,1258.4375,966.84375,797.109375
"host+('guest_1', 'guest_2', 'guest_3')",1,8,157269.7,140458.92,292.47687,140458.92,1072.5156,1634.53125,1185.296875,949.296875
"host+('guest_1', 'guest_2', 'guest_3')",1,9,161108.88,139430.2,291.23694,139430.2,1280.7969,1873.875,1526.0625,1140.75
"host+('guest_1', 'guest_2', 'guest_3')",1,10,150671.12,138228.1,289.81445,138228.1,1558.5938,2224.078125,1812.453125,1325.078125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,159999.88,136850.44,288.1756,136850.44,1811.5312,2618.953125,2244.390625,1631.828125
"host+('guest_1', 'guest_2', 'guest_3')",1,12,145200.19,135251.42,286.2549,135251.42,2201.3281,3065.46875,2582.078125,1933.21875
"host+('guest_1', 'guest_2', 'guest_3')",1,13,210549.39,133456.77,284.08237,133456.77,2518.125,3615.609375,3108.15625,2158.84375
"host+('guest_1', 'guest_2', 'guest_3')",1,14,164330.97,131364.81,281.56113,131364.81,3071.1562,4100.09375,3728.828125,2543.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,15,144432.83,129065.09,278.7825,129065.09,3430.0,4704.4375,4312.53125,2949.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,16,164839.11,126588.83,275.76544,126588.83,3973.9297,5245.5,4994.46875,3349.2578125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,146072.97,123898.39,272.49054,123898.39,4670.1484,5910.96875,5699.0078125,3769.84375
"host+('guest_1', 'guest_2', 'guest_3')",1,18,135972.67,120936.88,268.81693,120936.88,5467.742,6667.796875,6345.1796875,4060.34375
"host+('guest_1', 'guest_2', 'guest_3')",1,19,134404.97,117714.47,264.80453,117714.47,6078.1094,7448.1953125,7286.5546875,4642.7265625
"host+('guest_1', 'guest_2', 'guest_3')",1,20,131279.48,114196.87,260.4583,114196.87,6754.75,8266.8515625,8366.8984375,5071.9765625
"host+('guest_1', 'guest_2', 'guest_3')",1,21,129641.14,110411.72,255.7464,110411.72,7516.625,9011.78125,9509.6953125,5495.65625
"host+('guest_1', 'guest_2', 'guest_3')",1,22,117446.83,106430.625,250.69792,106430.625,8655.125,10219.15625,9926.46875,5801.0703125
"host+('guest_1', 'guest_2', 'guest_3')",1,23,117089.94,102294.336,245.44513,102294.336,9706.211,10963.40625,10908.984375,6565.0859375
"host+('guest_1', 'guest_2', 'guest_3')",1,24,111752.39,98002.77,240.02228,98002.77,10998.227,10904.34375,11485.8125,6867.3359375
"host+('guest_1', 'guest_2', 'guest_3')",1,25,110410.086,93570.31,234.43576,93570.31,12159.25,12172.671875,13099.703125,6932.6015625
"host+('guest_1', 'guest_2', 'guest_3')",1,26,102849.195,89082.734,228.72623,89082.734,13714.289,12942.21875,13423.4140625,7051.359375
"host+('guest_1', 'guest_2', 'guest_3')",1,27,106034.055,84709.875,223.2618,84709.875,15427.828,12861.828125,14303.015625,7379.25
"host+('guest_1', 'guest_2', 'guest_3')",1,28,102118.195,80372.34,217.68758,80372.34,17022.11,13253.609375,14141.15625,6821.1015625
"host+('guest_1', 'guest_2', 'guest_3')",1,29,86130.21,76109.91,212.18964,76109.91,18578.258,12695.6875,14874.3359375,6711.0234375
"host+('guest_1', 'guest_2', 'guest_3')",1,30,81373.65,72247.805,207.0299,72247.805,20847.266,12772.59375,14493.640625,6801.796875
"host+('guest_1', 'guest_2', 'guest_3')",1,31,87173.38,68725.13,202.11559,68725.13,22074.945,12534.0546875,13907.2734375,6112.3671875
"host+('guest_1', 'guest_2', 'guest_3')",1,32,77017.64,65361.195,197.36626,65361.195,24965.852,12328.5234375,14320.03125,5705.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,33,72211.06,62272.223,192.71768,62272.223,27094.809,10849.61328125,13370.45703125,5362.30859375
"host+('guest_1', 'guest_2', 'guest_3')",1,34,77002.52,59322.37,188.01277,59322.37,29327.191,10907.03515625,13155.20703125,4870.4296875
"host+('guest_1', 'guest_2', 'guest_3')",1,35,68924.85,56496.07,183.43904,56496.07,30984.375,9380.5703125,11926.6015625,4118.0859375
"host+('guest_1', 'guest_2', 'guest_3')",1,36,60329.094,53810.42,179.08955,53810.42,33645.055,8678.703125,12117.8984375,3637.83203125
"host+('guest_1', 'guest_2', 'guest_3')",1,37,59309.98,51277.008,174.7381,51277.008,35649.188,8651.55859375,11890.6171875,2794.8203125
"host+('guest_1', 'guest_2', 'guest_3')",1,38,54061.305,48781.63,170.39235,48781.63,39300.902,8020.42578125,10875.94921875,2527.4765625
"host+('guest_1', 'guest_2', 'guest_3')",1,39,54104.81,46315.746,165.914,46315.746,40114.98,7270.01171875,11023.0078125,2343.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,40,52302.008,43826.44,161.30182,43826.44,43130.113,7842.03515625,10773.05078125,2571.02734375
"host+('guest_1', 'guest_2', 'guest_3')",1,41,47360.113,41251.996,156.39978,41251.996,46806.332,7107.421875,10558.05078125,2147.890625
"host+('guest_1', 'guest_2', 'guest_3')",1,42,44123.133,38712.53,151.45932,38712.53,47678.03,7064.30078125,10425.5859375,1953.06640625
"host+('guest_1', 'guest_2', 'guest_3')",1,43,41886.09,36190.875,146.33887,36190.875,52248.92,7148.09375,10958.92578125,2023.0546875
"host+('guest_1', 'guest_2', 'guest_3')",1,44,41765.59,33621.15,140.92499,33621.15,53986.953,7549.35546875,11254.0625,1659.48046875
"host+('guest_1', 'guest_2', 'guest_3')",1,45,35453.418,31019.775,135.27951,31019.775,57103.812,7196.400390625,11100.361328125,1420.578125
"host+('guest_1', 'guest_2', 'guest_3')",1,46,34827.082,28512.754,129.62825,28512.754,58842.16,7059.5,12042.0078125,1843.279296875
"host+('guest_1', 'guest_2', 'guest_3')",1,47,31498.064,26026.998,123.831505,26026.998,60084.0,7269.857421875,12213.216796875,1791.705078125
"host+('guest_1', 'guest_2', 'guest_3')",1,48,27270.621,23610.578,117.905014,23610.578,63576.85,7054.83203125,12296.62109375,1773.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,49,24849.7,21341.992,112.01035,21341.992,65554.79,7977.541015625,11974.8515625,1871.470703125
"host+('guest_1', 'guest_2', 'guest_3')",1,50,21910.168,19205.105,106.14103,19205.105,67980.33,7126.982421875,12612.77734375,2129.025390625
"host+('guest_1', 'guest_2', 'guest_3')",1,51,23579.188,17118.57,100.12222,17118.57,70155.96,7461.734375,12650.255859375,1791.94921875
"host+('guest_1', 'guest_2', 'guest_3')",1,52,19885.8,14993.854,93.74739,14993.854,73280.93,6883.001953125,12873.271484375,1810.966796875
"host+('guest_1', 'guest_2', 'guest_3')",1,53,16571.445,13033.134,87.41463,13033.134,76525.914,7808.8173828125,12326.6357421875,1942.5546875
"host+('guest_1', 'guest_2', 'guest_3')",1,54,13211.386,11271.795,81.26024,11271.795,76458.61,7125.796875,12148.83984375,1876.78515625
"host+('guest_1', 'guest_2', 'guest_3')",1,55,11666.357,9743.449,75.46648,9743.449,77773.25,7124.197265625,12858.373046875,1746.828125
"host+('guest_1', 'guest_2', 'guest_3')",1,56,10556.845,8396.111,69.955826,8396.111,79639.914,7350.1162109375,13230.291015625,1711.8505859375
"host+('guest_1', 'guest_2', 'guest_3')",1,57,9079.26,7182.12,64.67445,7182.12,80972.89,6994.2607421875,13185.9208984375,1614.3642578125
"host+('guest_1', 'guest_2', 'guest_3')",1,58,8007.5366,6108.7935,59.68645,6108.7935,81196.086,6736.21435546875,13184.259765625,1508.078125
"host+('guest_1', 'guest_2', 'guest_3')",1,59,5882.0923,5153.4556,54.83903,5153.4556,83009.55,7148.31396484375,13848.6484375,1591.01171875
"host+('guest_1', 'guest_2', 'guest_3')",1,60,5297.017,4395.4897,50.62782,4395.4897,80342.01,6948.96728515625,14225.904296875,1667.90185546875
"host+('guest_1', 'guest_2', 'guest_3')",1,61,4428.4937,3752.03,46.729027,3752.03,82271.83,7059.4130859375,13520.9794921875,1662.366943359375
"host+('guest_1', 'guest_2', 'guest_3')",1,62,3845.0571,3233.8677,43.41939,3233.8677,81312.62,7050.47705078125,14088.841796875,1665.98486328125
"host+('guest_1', 'guest_2', 'guest_3')",1,63,3490.28,2813.631,40.493042,2813.631,85324.59,6951.48828125,14197.9609375,1703.290283203125
"host+('guest_1', 'guest_2', 'guest_3')",1,64,2762.4458,2460.2146,37.91807,2460.2146,86558.945,7102.3759765625,14352.876953125,1636.396240234375
"host+('guest_1', 'guest_2', 'guest_3')",1,65,2457.2104,2184.6223,35.721264,2184.6223,84252.055,7150.517578125,14487.4208984375,1625.76123046875
"host+('guest_1', 'guest_2', 'guest_3')",1,66,2141.5857,1975.6013,33.89105,1975.6013,85509.586,7095.33984375,14542.8671875,1662.4990234375
"host+('guest_1', 'guest_2', 'guest_3')",1,67,1955.8783,1806.62,32.252377,1806.62,87904.555,7321.5361328125,14726.6572265625,1663.2913818359375
"host+('guest_1', 'guest_2', 'guest_3')",1,68,1839.0098,1673.8385,30.914335,1673.8385,87782.875,7239.03857421875,15156.8134765625,1659.2811279296875
"host+('guest_1', 'guest_2', 'guest_3')",1,69,1689.7217,1568.0914,29.851551,1568.0914,85105.82,7010.68701171875,15060.208984375,1622.8104248046875
"host+('guest_1', 'guest_2', 'guest_3')",1,70,1642.2898,1482.0161,28.969936,1482.0161,85594.26,6785.63427734375,15204.14453125,1647.9189453125
"host+('guest_1', 'guest_2', 'guest_3')",1,71,1590.4177,1412.7535,28.249332,1412.7535,86622.38,6908.67236328125,15478.787109375,1658.4122314453125
"host+('guest_1', 'guest_2', 'guest_3')",1,72,1721.5491,1355.0717,27.66437,1355.0717,85318.44,6924.22705078125,15807.3408203125,1550.9112548828125
"host+('guest_1', 'guest_2', 'guest_3')",1,73,1416.3593,1304.7494,27.143778,1304.7494,87471.375,7064.61962890625,15507.2626953125,1594.7579345703125
"host+('guest_1', 'guest_2', 'guest_3')",1,74,1354.9668,1260.2809,26.673567,1260.2809,88042.7,6676.87353515625,15441.767578125,1538.5255126953125
"host+('guest_1', 'guest_2', 'guest_3')",1,75,1428.8173,1222.8744,26.279755,1222.8744,86024.03,6893.3349609375,16388.78125,1596.9764404296875
"host+('guest_1', 'guest_2', 'guest_3')",1,76,1317.5068,1189.1932,25.913162,1189.1932,87789.41,6928.625,16166.9375,1474.4554443359375
"host+('guest_1', 'guest_2', 'guest_3')",1,77,1359.0834,1159.5562,25.582724,1159.5562,86775.31,6945.38671875,16262.8203125,1444.884765625
"host+('guest_1', 'guest_2', 'guest_3')",1,78,1275.891,1131.9402,25.27365,1131.9402,86719.586,6758.0400390625,16680.09375,1459.00732421875
"host+('guest_1', 'guest_2', 'guest_3')",1,79,1209.7675,1107.0345,24.992502,1107.0345,84141.195,6513.38427734375,16217.0244140625,1520.4859619140625
"host+('guest_1', 'guest_2', 'guest_3')",1,80,1184.3104,1083.401,24.733334,1083.401,87965.23,6791.4765625,16615.724609375,1471.6236572265625
"host+('guest_1', 'guest_2', 'guest_3')",1,81,1198.6404,1061.1711,24.4964,1061.1711,85494.21,6817.275390625,17068.6796875,1417.056640625
"host+('guest_1', 'guest_2', 'guest_3')",1,82,1166.3794,1039.616,24.268549,1039.616,86580.016,6527.671875,16367.9755859375,1396.814453125
"host+('guest_1', 'guest_2', 'guest_3')",1,83,1155.5076,1019.922,24.053772,1019.922,87528.85,6547.7626953125,16846.134765625,1343.9476318359375
"host+('guest_1', 'guest_2', 'guest_3')",1,84,1123.1823,1000.0555,23.833466,1000.0555,87786.555,6551.54931640625,17852.296875,1416.23486328125
"host+('guest_1', 'guest_2', 'guest_3')",1,85,1110.8422,981.43146,23.622932,981.43146,83738.57,6577.2138671875,17199.71484375,1392.4892578125
"host+('guest_1', 'guest_2', 'guest_3')",1,86,1090.0763,963.7302,23.413721,963.7302,87420.51,6631.1357421875,17310.861328125,1367.02685546875
"host+('guest_1', 'guest_2', 'guest_3')",1,87,1058.5614,945.099,23.18493,945.099,83424.13,6499.17431640625,17593.3203125,1299.1990966796875
"host+('guest_1', 'guest_2', 'guest_3')",1,88,1030.9283,927.09625,22.969883,927.09625,87674.87,6356.36669921875,18238.4453125,1330.653076171875
"host+('guest_1', 'guest_2', 'guest_3')",1,89,1089.7703,907.874,22.734825,907.874,86715.72,6583.51513671875,17742.51171875,1273.9970703125
"host+('guest_1', 'guest_2', 'guest_3')",1,90,1028.5212,890.22565,22.528048,890.22565,87152.13,6433.68017578125,17477.541015625,1270.22119140625
"host+('guest_1', 'guest_2', 'guest_3')",1,91,973.6713,872.4982,22.311268,872.4982,86858.26,6313.86083984375,17667.3125,1251.57568359375
"host+('guest_1', 'guest_2', 'guest_3')",1,92,943.80334,855.32086,22.103289,855.32086,85496.04,6335.77099609375,17737.7890625,1226.883056640625
"host+('guest_1', 'guest_2', 'guest_3')",1,93,943.8654,838.4935,21.891644,838.4935,84845.16,6410.0625,18322.00390625,1180.1273193359375
"host+('guest_1', 'guest_2', 'guest_3')",1,94,949.2871,824.90515,21.71293,824.90515,85624.93,6399.89990234375,18077.44921875,1164.4801025390625
"host+('guest_1', 'guest_2', 'guest_3')",1,95,920.3763,812.843,21.546717,812.843,87387.43,6562.0966796875,18209.5234375,1234.669677734375
"host+('guest_1', 'guest_2', 'guest_3')",1,96,831.03845,799.19,21.372705,799.19,88105.766,6784.921875,18560.21484375,1181.46337890625
