experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,224907.05,145086.89,298.105,145086.89,144.10938,121.265625,-86.671875,57.859375
"host+('guest_1', 'guest_2', 'guest_3')",1,2,180347.05,144711.33,297.65173,144711.33,216.60938,260.796875,8.421875,134.6875
"host+('guest_1', 'guest_2', 'guest_3')",1,3,166581.14,144317.64,297.17676,144317.64,289.65625,392.53125,126.3125,197.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,4,154598.66,143891.17,296.65997,143891.17,381.95312,542.21875,217.625,274.921875
"host+('guest_1', 'guest_2', 'guest_3')",1,5,160744.33,143415.19,296.08096,143415.19,458.8125,733.0,351.9375,366.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,6,159398.17,142870.78,295.41785,142870.78,581.8594,919.78125,491.34375,462.078125
"host+('guest_1', 'guest_2', 'guest_3')",1,7,167240.86,142241.05,294.65005,142241.05,705.21875,1134.609375,624.953125,588.890625
"host+('guest_1', 'guest_2', 'guest_3')",1,8,155731.89,141521.7,293.7733,141521.7,857.625,1337.6875,834.140625,712.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,9,163722.8,140670.95,292.73007,140670.95,1044.4844,1619.421875,1005.703125,848.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,10,152501.2,139691.97,291.54422,139691.97,1244.7812,1970.234375,1303.234375,1020.125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,163740.58,138545.62,290.18655,138545.62,1494.7969,2226.609375,1644.640625,1249.90625
"host+('guest_1', 'guest_2', 'guest_3')",1,12,157856.77,137198.0,288.58298,137198.0,1761.1562,2660.578125,1982.421875,1430.90625
"host+('guest_1', 'guest_2', 'guest_3')",1,13,163039.22,135619.58,286.68802,135619.58,2114.1719,3074.640625,2362.5625,1756.921875
"host+('guest_1', 'guest_2', 'guest_3')",1,14,155896.03,133795.78,284.48386,133795.78,2415.9531,3663.421875,2840.0625,1993.203125
"host+('guest_1', 'guest_2', 'guest_3')",1,15,147823.9,131722.56,281.98367,131722.56,2888.4219,4385.6875,3414.0,2394.75
"host+('guest_1', 'guest_2', 'guest_3')",1,16,152867.12,129386.984,279.16577,129386.984,3330.9531,5002.609375,3982.109375,2827.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,138809.6,126772.03,275.9945,126772.03,3928.0469,5702.078125,4542.71875,3170.0546875
"host+('guest_1', 'guest_2', 'guest_3')",1,18,199237.75,123886.266,272.46622,123886.266,4569.164,6383.84375,5448.3203125,3597.7265625
"host+('guest_1', 'guest_2', 'guest_3')",1,19,134839.2,120644.74,268.4341,120644.74,5363.008,7246.3359375,6257.96875,4098.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,20,131896.66,117228.59,264.1912,117228.59,5953.3594,8173.5546875,7060.1171875,4550.953125
"host+('guest_1', 'guest_2', 'guest_3')",1,21,147908.11,113606.52,259.70416,113606.52,6757.672,9130.9375,8102.671875,5044.828125
"host+('guest_1', 'guest_2', 'guest_3')",1,22,126279.305,109726.61,254.83827,109726.61,7787.7188,9644.125,8684.1484375,5656.046875
"host+('guest_1', 'guest_2', 'guest_3')",1,23,170186.86,105622.43,249.63715,105622.43,8371.172,11111.9921875,9731.6171875,6046.671875
"host+('guest_1', 'guest_2', 'guest_3')",1,24,111089.04,101242.25,244.13968,101242.25,9522.328,11571.7109375,10497.1796875,6403.2265625
