experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,39,51490.707,45939.008,165.58708,45939.008,41167.29,9642.42578125,11755.43359375,2781.41796875
"host+('guest_1', 'guest_2', 'guest_3')",1,40,50280.68,43367.465,160.89305,43367.465,43231.34,7728.94140625,12070.03515625,2289.7109375
"host+('guest_1', 'guest_2', 'guest_3')",1,41,48561.215,40825.42,156.02824,40825.42,46335.695,8672.4921875,12595.85546875,2415.2265625
"host+('guest_1', 'guest_2', 'guest_3')",1,42,43854.727,38240.15,150.8945,38240.15,48372.42,7457.87109375,11291.08203125,2125.70703125
"host+('guest_1', 'guest_2', 'guest_3')",1,43,42757.27,35701.266,145.7079,35701.266,51223.656,8234.4609375,11122.30078125,2008.00390625
"host+('guest_1', 'guest_2', 'guest_3')",1,44,39047.387,33153.516,140.30243,33153.516,54561.46,7496.921875,11262.91015625,1818.86328125
"host+('guest_1', 'guest_2', 'guest_3')",1,45,37435.59,30603.715,134.71529,30603.715,56755.027,7719.4609375,10967.65625,1492.76171875
"host+('guest_1', 'guest_2', 'guest_3')",1,46,33769.996,28062.693,128.98831,28062.693,59309.58,7377.669921875,12106.248046875,1672.39453125
"host+('guest_1', 'guest_2', 'guest_3')",1,47,35724.367,25576.83,123.12393,25576.83,62242.83,7601.677734375,11277.705078125,1462.927734375
"host+('guest_1', 'guest_2', 'guest_3')",1,48,30411.984,23026.566,116.87182,23026.566,62372.06,7951.046875,11628.484375,1836.568359375
"host+('guest_1', 'guest_2', 'guest_3')",1,49,24206.406,20619.459,110.65862,20619.459,66023.4,7475.34375,12120.556640625,1580.0859375
"host+('guest_1', 'guest_2', 'guest_3')",1,50,22293.998,18404.29,104.5234,18404.29,68997.8,7426.708984375,11874.49609375,1593.990234375
"host+('guest_1', 'guest_2', 'guest_3')",1,51,20109.455,16340.783,98.4575,16340.783,70536.586,7459.185546875,12157.603515625,1519.216796875
"host+('guest_1', 'guest_2', 'guest_3')",1,52,17383.244,14418.245,92.4383,14418.245,71847.56,7557.4462890625,12607.8115234375,1533.689453125
"host+('guest_1', 'guest_2', 'guest_3')",1,53,14406.552,12677.999,86.56393,12677.999,74859.62,7518.5927734375,12970.5048828125,1545.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,54,13377.563,11099.44,80.82312,11099.44,74079.99,7532.4423828125,12713.9931640625,1579.1904296875
"host+('guest_1', 'guest_2', 'guest_3')",1,55,11055.063,9671.506,75.28298,9671.506,77183.44,7204.927734375,12798.845703125,1748.724609375
"host+('guest_1', 'guest_2', 'guest_3')",1,56,9999.388,8396.621,69.98087,8396.621,79012.78,7618.087890625,12739.1484375,1369.529296875
"host+('guest_1', 'guest_2', 'guest_3')",1,57,8478.136,7250.213,64.96315,7250.213,82626.336,7344.232421875,12313.216796875,1558.736328125
"host+('guest_1', 'guest_2', 'guest_3')",1,58,7244.422,6223.3774,60.16298,6223.3774,82809.414,7349.55517578125,13512.736328125,1556.97021484375
"host+('guest_1', 'guest_2', 'guest_3')",1,59,6104.638,5369.3936,55.843315,5369.3936,80068.055,7566.0341796875,13276.2021484375,1593.55078125
"host+('guest_1', 'guest_2', 'guest_3')",1,60,5397.6235,4626.4463,51.825703,4626.4463,83334.62,7504.2529296875,13629.4189453125,1543.263671875
"host+('guest_1', 'guest_2', 'guest_3')",1,61,5636.9346,3975.2888,48.06832,3975.2888,83097.22,7430.5751953125,13071.109375,1451.803466796875
"host+('guest_1', 'guest_2', 'guest_3')",1,62,4331.3027,3339.4229,44.117832,3339.4229,83756.44,7189.6552734375,13153.3818359375,1475.5390625
"host+('guest_1', 'guest_2', 'guest_3')",1,63,3376.873,2842.624,40.726112,2842.624,82871.836,7248.287109375,14004.6806640625,1478.62353515625
"host+('guest_1', 'guest_2', 'guest_3')",1,64,2732.3901,2476.4895,38.04963,2476.4895,83901.836,7051.53515625,14051.0166015625,1548.90576171875
