experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,183127.72,144996.12,297.97705,144996.12,112.578125,69.296875,-55.171875,215.03125
"host+('guest_1', 'guest_2', 'guest_3')",1,2,160580.39,144543.23,297.42978,144543.23,206.73438,192.375,95.015625,294.71875
"host+('guest_1', 'guest_2', 'guest_3')",1,3,156964.45,144068.7,296.85278,144068.7,310.26562,351.75,230.796875,374.015625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,158912.84,143556.84,296.22867,143556.84,392.82812,505.515625,396.515625,456.671875
"host+('guest_1', 'guest_2', 'guest_3')",1,5,164535.58,142979.48,295.5219,142979.48,521.5625,672.5625,582.171875,607.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,6,161902.08,142304.22,294.69226,142304.22,649.75,886.78125,761.546875,730.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,7,156859.45,141522.72,293.72855,141522.72,783.9844,1137.578125,1005.96875,899.078125
"host+('guest_1', 'guest_2', 'guest_3')",1,8,157320.61,140624.7,292.6211,140624.7,956.9844,1348.609375,1259.921875,1050.109375
"host+('guest_1', 'guest_2', 'guest_3')",1,9,156505.73,139588.16,291.36646,139588.16,1185.7656,1692.203125,1573.078125,1196.3125
"host+('guest_1', 'guest_2', 'guest_3')",1,10,150876.34,138378.0,289.92065,138378.0,1357.0,2049.671875,1904.46875,1457.28125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,152857.25,136991.6,288.2507,136991.6,1694.3438,2453.546875,2220.09375,1683.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,12,147412.66,135408.05,286.32748,135408.05,1998.5625,2903.046875,2723.859375,1969.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,13,155491.17,133586.75,284.10287,133586.75,2368.0156,3488.75,3289.921875,2265.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,14,163920.53,131482.9,281.55707,131482.9,2786.6094,4045.0,3959.140625,2591.640625
"host+('guest_1', 'guest_2', 'guest_3')",1,15,149056.16,129142.16,278.711,129142.16,3233.7812,4601.015625,4498.578125,2905.953125
"host+('guest_1', 'guest_2', 'guest_3')",1,16,147884.8,126531.22,275.52768,126531.22,3791.539,5468.734375,5126.40625,3420.6171875
"host+('guest_1', 'guest_2', 'guest_3')",1,17,153990.58,123650.95,271.9888,123650.95,4543.1953,5942.2109375,5939.6171875,3911.453125
