experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,172003.1,145112.12,298.13406,145112.12,81.515625,53.84375,23.46875,76.5
"host+('guest_1', 'guest_2', 'guest_3')",1,2,162103.36,144706.36,297.65613,144706.36,179.8125,176.28125,124.96875,148.640625
"host+('guest_1', 'guest_2', 'guest_3')",1,3,162043.17,144273.25,297.14355,144273.25,292.26562,307.25,231.15625,219.5625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,161030.67,143793.48,296.57428,143793.48,392.25,446.9375,359.5625,308.28125
"host+('guest_1', 'guest_2', 'guest_3')",1,5,170777.95,143253.31,295.93173,143253.31,511.5625,650.21875,524.921875,410.296875
"host+('guest_1', 'guest_2', 'guest_3')",1,6,169115.86,142628.45,295.18845,142628.45,678.84375,821.28125,664.859375,520.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,7,154001.98,141904.67,294.32147,141904.67,833.5156,1027.71875,832.34375,659.296875
"host+('guest_1', 'guest_2', 'guest_3')",1,8,151949.28,141076.7,293.32455,141076.7,1054.5625,1268.75,1080.359375,791.59375
"host+('guest_1', 'guest_2', 'guest_3')",1,9,194623.8,140120.38,292.17133,140120.38,1243.6875,1566.890625,1315.125,935.671875
"host+('guest_1', 'guest_2', 'guest_3')",1,10,162125.11,138984.61,290.81503,138984.61,1518.6406,1967.515625,1635.65625,1148.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,11,223554.73,137681.16,289.28165,137681.16,1838.375,2349.109375,1926.765625,1403.625
"host+('guest_1', 'guest_2', 'guest_3')",1,12,158248.84,136194.92,287.51862,136194.92,2072.4062,2769.703125,2301.875,1624.0625
"host+('guest_1', 'guest_2', 'guest_3')",1,13,151133.17,134591.7,285.5939,134591.7,2476.9688,3263.1875,2736.046875,1876.6875
"host+('guest_1', 'guest_2', 'guest_3')",1,14,150170.42,132781.11,283.39838,132781.11,2779.7812,3955.5625,3197.46875,2121.5
"host+('guest_1', 'guest_2', 'guest_3')",1,15,143357.48,130737.164,280.93448,130737.164,3191.2266,4584.4296875,3738.1328125,2513.1015625
"host+('guest_1', 'guest_2', 'guest_3')",1,16,157595.33,128455.52,278.17188,128455.52,3631.4297,5118.9296875,4279.1796875,2890.6796875
"host+('guest_1', 'guest_2', 'guest_3')",1,17,152830.67,125870.78,275.02817,125870.78,4197.25,5923.9375,5038.28125,3205.5625
"host+('guest_1', 'guest_2', 'guest_3')",1,18,147223.66,123060.96,271.5907,123060.96,4709.711,6891.4140625,5407.25,3518.328125
"host+('guest_1', 'guest_2', 'guest_3')",1,19,146283.77,119915.6,267.6737,119915.6,5526.711,7905.7265625,6312.6328125,3901.890625
"host+('guest_1', 'guest_2', 'guest_3')",1,20,131994.67,116473.945,263.4168,116473.945,6189.953,8377.0859375,7006.3203125,4392.609375
"host+('guest_1', 'guest_2', 'guest_3')",1,21,124010.56,112861.09,258.9356,112861.09,6964.9453,9810.96875,8109.40625,4954.5390625
"host+('guest_1', 'guest_2', 'guest_3')",1,22,132338.1,109077.29,254.19731,109077.29,7804.3984,10606.5625,8661.0703125,5270.859375
"host+('guest_1', 'guest_2', 'guest_3')",1,23,128887.98,105013.59,249.05731,105013.59,8962.828,11720.7421875,9320.5859375,5660.671875
"host+('guest_1', 'guest_2', 'guest_3')",1,24,123201.555,100696.24,243.63263,100696.24,10002.867,12688.3828125,10237.25,6001.90625
