experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,182398.42,144929.67,297.9386,144929.67,222.32812,40.109375,74.03125,90.625
"host+('guest_1', 'guest_2', 'guest_3')",1,2,167111.86,144538.08,297.47498,144538.08,315.8125,140.234375,191.65625,163.75
"host+('guest_1', 'guest_2', 'guest_3')",1,3,170452.62,144118.44,296.9774,144118.44,423.14062,260.6875,289.125,253.640625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,155224.34,143652.31,296.42444,143652.31,531.5625,365.6875,402.953125,344.15625
"host+('guest_1', 'guest_2', 'guest_3')",1,5,161511.47,143124.77,295.7957,143124.77,672.71875,499.984375,571.078125,447.65625
"host+('guest_1', 'guest_2', 'guest_3')",1,6,159800.58,142511.42,295.0633,142511.42,850.84375,646.84375,723.953125,563.046875
"host+('guest_1', 'guest_2', 'guest_3')",1,7,166479.4,141797.16,294.2082,141797.16,1037.8438,857.6875,903.046875,714.6875
"host+('guest_1', 'guest_2', 'guest_3')",1,8,168133.75,140959.73,293.20288,140959.73,1252.2656,1067.09375,1095.921875,895.125
"host+('guest_1', 'guest_2', 'guest_3')",1,9,169653.5,139960.16,291.9989,139960.16,1500.7969,1277.453125,1358.015625,1037.109375
"host+('guest_1', 'guest_2', 'guest_3')",1,10,155352.03,138800.61,290.6088,138800.61,1741.9688,1663.140625,1714.890625,1367.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,11,155167.9,137484.53,289.0674,137484.53,2172.5156,1931.140625,1991.71875,1539.109375
"host+('guest_1', 'guest_2', 'guest_3')",1,12,150462.58,135961.48,287.267,135961.48,2593.0938,2285.234375,2419.015625,1849.71875
"host+('guest_1', 'guest_2', 'guest_3')",1,13,148500.08,134234.08,285.20578,134234.08,2953.5312,2816.25,2698.375,2110.140625
"host+('guest_1', 'guest_2', 'guest_3')",1,14,196682.86,132265.78,282.83783,132265.78,3496.3281,3323.9375,3269.03125,2541.59375
"host+('guest_1', 'guest_2', 'guest_3')",1,15,143521.22,129996.84,280.10803,129996.84,4105.4375,4031.03125,3655.078125,2875.90625
"host+('guest_1', 'guest_2', 'guest_3')",1,16,144698.95,127533.82,277.12665,127533.82,4623.1484,4496.2421875,4292.0390625,3187.3828125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,142439.34,124829.29,273.83054,124829.29,5273.2344,5385.0390625,4913.78125,3654.578125
"host+('guest_1', 'guest_2', 'guest_3')",1,18,155006.34,121884.4,270.2109,121884.4,6089.8984,5873.75,5670.8203125,4280.3984375
"host+('guest_1', 'guest_2', 'guest_3')",1,19,129831.836,118581.77,266.10144,118581.77,6825.375,6849.9140625,6374.984375,4739.3828125
"host+('guest_1', 'guest_2', 'guest_3')",1,20,129681.29,115060.18,261.73978,115060.18,7699.7188,7723.9453125,7064.4140625,5206.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,21,123060.75,111279.04,257.06866,111279.04,8856.883,8397.984375,7627.328125,5886.4296875
