experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,88730.56,69776.05,182.39719,69776.05,2.1875,39.90625,98.8203125,10.5078125
"host+('guest_1', 'guest_2', 'guest_3')",1,2,83503.234,69602.35,182.07265,69602.35,17.375,103.46875,154.2734375,42.5703125
"host+('guest_1', 'guest_2', 'guest_3')",1,3,84109.87,69424.35,181.73752,69424.35,29.007812,141.6171875,202.3828125,93.4140625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,83738.266,69237.32,181.38507,69237.32,45.898438,224.9375,250.9765625,134.5234375
"host+('guest_1', 'guest_2', 'guest_3')",1,5,82340.35,69036.945,181.00383,69036.945,58.757812,289.03125,300.2109375,187.28125
"host+('guest_1', 'guest_2', 'guest_3')",1,6,82941.766,68818.586,180.58727,68818.586,79.67969,366.75,374.90625,238.3125
"host+('guest_1', 'guest_2', 'guest_3')",1,7,85374.234,68577.445,180.12793,68577.445,93.35156,438.765625,429.390625,297.4140625
"host+('guest_1', 'guest_2', 'guest_3')",1,8,83817.2,68309.56,179.61787,68309.56,117.66406,526.90625,506.9921875,342.75
"host+('guest_1', 'guest_2', 'guest_3')",1,9,80750.45,68010.125,179.0555,68010.125,128.84375,636.3984375,615.75,403.3515625
"host+('guest_1', 'guest_2', 'guest_3')",1,10,82300.25,67681.51,178.44212,67681.51,154.20312,726.3125,706.0703125,499.515625
"host+('guest_1', 'guest_2', 'guest_3')",1,11,80905.96,67310.66,177.75734,67310.66,184.10156,842.203125,814.4609375,588.0859375
"host+('guest_1', 'guest_2', 'guest_3')",1,12,81081.625,66899.44,176.99995,66899.44,210.20312,957.6796875,936.7578125,651.328125
"host+('guest_1', 'guest_2', 'guest_3')",1,13,83778.44,66439.71,176.15504,66439.71,236.92969,1071.6875,1058.3125,764.640625
"host+('guest_1', 'guest_2', 'guest_3')",1,14,79087.29,65926.06,175.21933,65926.06,263.84375,1249.6171875,1184.609375,854.8828125
"host+('guest_1', 'guest_2', 'guest_3')",1,15,79776.75,65361.793,174.19397,65361.793,315.82422,1389.27734375,1406.60546875,967.17578125
"host+('guest_1', 'guest_2', 'guest_3')",1,16,79155.18,64746.03,173.06706,64746.03,352.27734,1548.78125,1569.53125,1073.5703125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,81406.18,64061.246,171.8173,64061.246,397.5039,1763.84765625,1727.15234375,1224.34765625
"host+('guest_1', 'guest_2', 'guest_3')",1,18,74836.72,63301.06,170.459,63301.06,467.14844,1942.97265625,1938.2734375,1376.44921875
"host+('guest_1', 'guest_2', 'guest_3')",1,19,81836.375,62484.01,169.02406,62484.01,506.4453,2207.10546875,2158.65234375,1501.5390625
